nodes;RANDOM_MAX;iterations;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Olog(n);type
305000;1000000;10;9682.827000;968.282700;337.859900;294.800300;335.622500;3378.599000;2948.003000;3356.225000;5.484300;random_array
310000;1000000;10;8864.230000;886.423000;306.361700;291.481800;288.579500;3063.617000;2914.818000;2885.795000;5.491362;random_array
315000;1000000;10;9001.688000;900.168800;314.922500;285.803300;299.443000;3149.225000;2858.033000;2994.430000;5.498311;random_array
320000;1000000;10;9851.248000;985.124800;343.946900;307.054600;334.123300;3439.469000;3070.546000;3341.233000;5.505150;random_array
325000;1000000;10;10013.527000;1001.352700;346.523100;311.571000;343.258600;3465.231000;3115.710000;3432.586000;5.511883;random_array
330000;1000000;10;9401.609000;940.160900;328.810600;289.577100;321.773200;3288.106000;2895.771000;3217.732000;5.518514;random_array
335000;1000000;10;10088.001000;1008.800100;360.582700;305.296900;342.920500;3605.827000;3052.969000;3429.205000;5.525045;random_array
340000;1000000;10;9808.620000;980.862000;340.807200;314.945600;325.109200;3408.072000;3149.456000;3251.092000;5.531479;random_array
345000;1000000;10;9971.517000;997.151700;336.372800;325.691000;335.087900;3363.728000;3256.910000;3350.879000;5.537819;random_array
350000;1000000;10;10173.073000;1017.307300;344.189400;330.558900;342.559000;3441.894000;3305.589000;3425.590000;5.544068;random_array
355000;1000000;10;10800.719000;1080.071900;376.399300;352.789200;350.883400;3763.993000;3527.892000;3508.834000;5.550228;random_array
360000;1000000;10;10732.662000;1073.266200;368.633800;336.485600;368.146800;3686.338000;3364.856000;3681.468000;5.556303;random_array
365000;1000000;10;10947.222000;1094.722200;384.560500;344.998700;365.163000;3845.605000;3449.987000;3651.630000;5.562293;random_array
370000;1000000;10;10916.785000;1091.678500;372.789800;350.680900;368.207800;3727.898000;3506.809000;3682.078000;5.568202;random_array
375000;1000000;10;11291.070000;1129.107000;385.679100;361.888200;381.539700;3856.791000;3618.882000;3815.397000;5.574031;random_array
380000;1000000;10;11535.266000;1153.526600;391.415200;368.042500;394.068900;3914.152000;3680.425000;3940.689000;5.579783;random_array
385000;1000000;10;11651.319000;1165.131900;403.166600;367.820100;394.145200;4031.666000;3678.201000;3941.452000;5.585461;random_array
390000;1000000;10;12337.901000;1233.790100;421.624300;400.925600;411.240200;4216.243000;4009.256000;4112.402000;5.591064;random_array
395000;1000000;10;12386.938000;1238.693800;440.329500;385.791400;412.572900;4403.295000;3857.914000;4125.729000;5.596597;random_array
400000;1000000;10;11858.320000;1185.832000;404.299100;381.021700;400.511200;4042.991000;3810.217000;4005.112000;5.602060;random_array
405000;1000000;10;12702.216000;1270.221600;428.508400;406.059700;435.653500;4285.084000;4060.597000;4356.535000;5.607455;random_array
410000;1000000;10;12861.706000;1286.170600;441.065700;408.944800;436.160100;4410.657000;4089.448000;4361.601000;5.612784;random_array
415000;1000000;10;13423.484000;1342.348400;481.707100;414.452900;446.188400;4817.071000;4144.529000;4461.884000;5.618048;random_array
420000;1000000;10;13682.048000;1368.204800;477.379100;426.929100;463.896600;4773.791000;4269.291000;4638.966000;5.623250;random_array
425000;1000000;10;13459.889000;1345.988900;465.006800;428.794100;452.188000;4650.068000;4287.941000;4521.880000;5.628389;random_array
430000;1000000;10;13591.111000;1359.111100;460.496400;442.163300;456.451400;4604.964000;4421.633000;4564.514000;5.633469;random_array
435000;1000000;10;13959.552000;1395.955200;475.390100;441.614000;478.951100;4753.901000;4416.140000;4789.511000;5.638489;random_array
440000;1000000;10;14085.799000;1408.579900;485.273900;443.909800;479.396200;4852.739000;4439.098000;4793.962000;5.643453;random_array
445000;1000000;10;14678.827000;1467.882700;514.362600;471.226800;482.293300;5143.626000;4712.268000;4822.933000;5.648360;random_array
450000;1000000;10;14477.428000;1447.742800;493.640500;463.702600;490.399700;4936.405000;4637.026000;4903.997000;5.653213;random_array
455000;1000000;10;15009.656000;1500.965600;523.122000;489.265800;488.577800;5231.220000;4892.658000;4885.778000;5.658011;random_array
460000;1000000;10;16883.716000;1688.371600;587.524900;519.665500;581.181200;5875.249000;5196.655000;5811.812000;5.662758;random_array
465000;1000000;10;14921.219000;1492.121900;517.362800;468.516100;506.243000;5173.628000;4685.161000;5062.430000;5.667453;random_array
470000;1000000;10;16172.923000;1617.292300;560.554500;504.919500;551.818300;5605.545000;5049.195000;5518.183000;5.672098;random_array
475000;1000000;10;15538.563000;1553.856300;533.488200;493.826700;526.541400;5334.882000;4938.267000;5265.414000;5.676693;random_array
480000;1000000;10;16032.607000;1603.260700;557.324400;502.486800;543.449500;5573.244000;5024.868000;5434.495000;5.681241;random_array
485000;1000000;10;16528.871000;1652.887100;567.070100;533.224700;552.592300;5670.701000;5332.247000;5525.923000;5.685742;random_array
490000;1000000;10;17840.278000;1784.027800;619.718900;561.461200;602.847700;6197.189000;5614.612000;6028.477000;5.690196;random_array
495000;1000000;10;17928.664000;1792.866400;637.101800;559.391800;596.372800;6371.018000;5593.918000;5963.728000;5.694605;random_array
500000;1000000;10;17229.913000;1722.991300;588.318900;558.069600;576.602800;5883.189000;5580.696000;5766.028000;5.698970;random_array
505000;1000000;10;16844.672000;1684.467200;580.337400;535.706400;568.423400;5803.374000;5357.064000;5684.234000;5.703291;random_array
510000;1000000;10;17063.887000;1706.388700;584.575100;547.010800;574.802800;5845.751000;5470.108000;5748.028000;5.707570;random_array
515000;1000000;10;17588.827000;1758.882700;606.052900;548.351900;604.477900;6060.529000;5483.519000;6044.779000;5.711807;random_array
520000;1000000;10;17711.854000;1771.185400;612.104200;557.850300;601.230900;6121.042000;5578.503000;6012.309000;5.716003;random_array
525000;1000000;10;19000.211000;1900.021100;658.058100;594.556800;647.406200;6580.581000;5945.568000;6474.062000;5.720160;random_array
530000;1000000;10;18157.088000;1815.708800;635.706000;582.361500;597.641300;6357.060000;5823.615000;5976.413000;5.724276;random_array
535000;1000000;10;18446.656000;1844.665600;636.261400;589.451200;618.953000;6362.614000;5894.512000;6189.530000;5.728354;random_array
540000;1000000;10;18839.912000;1883.991200;660.238200;583.948200;639.804800;6602.382000;5839.482000;6398.048000;5.732394;random_array
545000;1000000;10;17614.140000;1761.414000;607.784800;558.546700;595.082500;6077.848000;5585.467000;5950.825000;5.736396;random_array
550000;1000000;10;18520.810000;1852.081000;637.731300;582.082400;632.267300;6377.313000;5820.824000;6322.673000;5.740363;random_array
555000;1000000;10;18199.653000;1819.965300;625.279400;581.950300;612.735600;6252.794000;5819.503000;6127.356000;5.744293;random_array
560000;1000000;10;18359.707000;1835.970700;629.583300;583.203900;623.183500;6295.833000;5832.039000;6231.835000;5.748188;random_array
565000;1000000;10;18449.932000;1844.993200;632.227000;586.833600;625.932600;6322.270000;5868.336000;6259.326000;5.752048;random_array
570000;1000000;10;18806.415000;1880.641500;644.793800;599.490000;636.357700;6447.938000;5994.900000;6363.577000;5.755875;random_array
575000;1000000;10;18721.500000;1872.150000;643.114500;593.171100;635.864400;6431.145000;5931.711000;6358.644000;5.759668;random_array
580000;1000000;10;19067.861000;1906.786100;650.640600;604.024000;652.121500;6506.406000;6040.240000;6521.215000;5.763428;random_array
585000;1000000;10;19241.397000;1924.139700;660.093700;610.828300;653.217700;6600.937000;6108.283000;6532.177000;5.767156;random_array
590000;1000000;10;19722.174000;1972.217400;675.602200;625.839100;670.776100;6756.022000;6258.391000;6707.761000;5.770852;random_array
595000;1000000;10;19939.325000;1993.932500;687.570700;631.284000;675.077800;6875.707000;6312.840000;6750.778000;5.774517;random_array
600000;1000000;10;20053.493000;2005.349300;687.549000;636.591000;681.209300;6875.490000;6365.910000;6812.093000;5.778151;random_array
605000;1000000;10;20193.480000;2019.348000;693.123100;641.172200;685.052700;6931.231000;6411.722000;6850.527000;5.781755;random_array
610000;1000000;10;20120.144000;2012.014400;690.224500;642.880600;678.909300;6902.245000;6428.806000;6789.093000;5.785330;random_array
615000;1000000;10;20467.894000;2046.789400;705.461200;647.613100;693.715100;7054.612000;6476.131000;6937.151000;5.788875;random_array
620000;1000000;10;20468.273000;2046.827300;698.946300;651.555300;696.325700;6989.463000;6515.553000;6963.257000;5.792392;random_array
625000;1000000;10;20892.951000;2089.295100;715.358400;663.659800;710.276900;7153.584000;6636.598000;7102.769000;5.795880;random_array
630000;1000000;10;21242.563000;2124.256300;727.189700;670.318900;726.747700;7271.897000;6703.189000;7267.477000;5.799341;random_array
635000;1000000;10;21154.197000;2115.419700;729.333600;671.874000;714.212100;7293.336000;6718.740000;7142.121000;5.802774;random_array
640000;1000000;10;21525.114000;2152.511400;742.398200;682.634100;727.479100;7423.982000;6826.341000;7274.791000;5.806180;random_array
645000;1000000;10;21790.781000;2179.078100;744.411900;691.496800;743.169400;7444.119000;6914.968000;7431.694000;5.809560;random_array
650000;1000000;10;21799.542000;2179.954200;747.042500;694.951800;737.959900;7470.425000;6949.518000;7379.599000;5.812913;random_array
655000;1000000;10;23514.668000;2351.466800;774.219200;766.166400;811.081200;7742.192000;7661.664000;8110.812000;5.816241;random_array
660000;1000000;10;24213.012000;2421.301200;839.476600;771.987600;809.837000;8394.766000;7719.876000;8098.370000;5.819544;random_array
665000;1000000;10;24027.851000;2402.785100;827.859500;748.441500;826.484100;8278.595000;7484.415000;8264.841000;5.822822;random_array
670000;1000000;10;23713.908000;2371.390800;811.251500;751.395000;808.744300;8112.515000;7513.950000;8087.443000;5.826075;random_array
675000;1000000;10;23687.271000;2368.727100;811.851600;756.442500;800.433000;8118.516000;7564.425000;8004.330000;5.829304;random_array
680000;1000000;10;24311.357000;2431.135700;818.775600;760.820700;851.539400;8187.756000;7608.207000;8515.394000;5.832509;random_array
685000;1000000;10;24257.915000;2425.791500;840.271500;771.717400;813.802600;8402.715000;7717.174000;8138.026000;5.835690;random_array
690000;1000000;10;24750.461000;2475.046100;851.611800;793.528200;829.906100;8516.118000;7935.282000;8299.061000;5.838849;random_array
695000;1000000;10;25486.632000;2548.663200;872.283600;803.423000;872.956600;8722.836000;8034.230000;8729.566000;5.841985;random_array
700000;1000000;10;25418.099000;2541.809900;854.153200;827.146500;860.510200;8541.532000;8271.465000;8605.102000;5.845098;random_array
705000;1000000;10;24912.859000;2491.285900;860.995400;786.300200;843.990300;8609.954000;7863.002000;8439.903000;5.848189;random_array
710000;1000000;10;24923.489000;2492.348900;860.743400;787.271700;844.333800;8607.434000;7872.717000;8443.338000;5.851258;random_array
715000;1000000;10;25177.646000;2517.764600;870.425900;796.672800;850.665900;8704.259000;7966.728000;8506.659000;5.854306;random_array
720000;1000000;10;25370.906000;2537.090600;873.837500;801.580900;861.672200;8738.375000;8015.809000;8616.722000;5.857333;random_array
725000;1000000;10;25659.014000;2565.901400;882.296700;809.921500;873.683200;8822.967000;8099.215000;8736.832000;5.860338;random_array
730000;1000000;10;25420.368000;2542.036800;873.656200;807.504400;860.876200;8736.562000;8075.044000;8608.762000;5.863323;random_array
735000;1000000;10;25981.812000;2598.181200;892.536700;822.490600;883.153900;8925.367000;8224.906000;8831.539000;5.866287;random_array
740000;1000000;10;26304.094000;2630.409400;905.320600;834.281900;890.806900;9053.206000;8342.819000;8908.069000;5.869232;random_array
745000;1000000;10;26367.096000;2636.709600;905.805900;831.343800;899.559900;9058.059000;8313.438000;8995.599000;5.872156;random_array
750000;1000000;10;26603.398000;2660.339800;916.585100;839.085000;904.669700;9165.851000;8390.850000;9046.697000;5.875061;random_array
755000;1000000;10;26684.725000;2668.472500;915.657200;845.357400;907.457900;9156.572000;8453.574000;9074.579000;5.877947;random_array
760000;1000000;10;26939.406000;2693.940600;926.339400;851.425900;916.175300;9263.394000;8514.259000;9161.753000;5.880814;random_array
765000;1000000;10;26999.079000;2699.907900;927.908400;855.438400;916.561100;9279.084000;8554.384000;9165.611000;5.883661;random_array
770000;1000000;10;27466.293000;2746.629300;947.954000;870.442200;928.233100;9479.540000;8704.422000;9282.331000;5.886491;random_array
775000;1000000;10;27538.094000;2753.809400;948.933600;871.094900;933.780900;9489.336000;8710.949000;9337.809000;5.889302;random_array
780000;1000000;10;27842.011000;2784.201100;958.200100;882.419300;943.581700;9582.001000;8824.193000;9435.817000;5.892095;random_array
785000;1000000;10;27948.570000;2794.857000;959.643200;886.350200;948.863600;9596.432000;8863.502000;9488.636000;5.894870;random_array
790000;1000000;10;28262.879000;2826.287900;972.803000;896.674600;956.810300;9728.030000;8966.746000;9568.103000;5.897627;random_array
795000;1000000;10;28526.987000;2852.698700;983.090200;904.155300;965.453200;9830.902000;9041.553000;9654.532000;5.900367;random_array
800000;1000000;10;28638.169000;2863.816900;985.783100;906.533100;971.500700;9857.831000;9065.331000;9715.007000;5.903090;random_array
805000;1000000;10;28991.642000;2899.164200;998.818700;918.994400;981.351100;9988.187000;9189.944000;9813.511000;5.905796;random_array
810000;1000000;10;29136.635000;2913.663500;1003.231600;923.737000;986.694900;10032.316000;9237.370000;9866.949000;5.908485;random_array
815000;1000000;10;29280.813000;2928.081300;1006.100900;930.064900;991.915500;10061.009000;9300.649000;9919.155000;5.911158;random_array
820000;1000000;10;29591.732000;2959.173200;1017.642100;936.039400;1005.491700;10176.421000;9360.394000;10054.917000;5.913814;random_array
825000;1000000;10;29641.444000;2964.144400;1025.700100;939.545800;998.898500;10257.001000;9395.458000;9988.985000;5.916454;random_array
830000;1000000;10;30460.791000;3046.079100;1045.663200;963.523000;1036.892900;10456.632000;9635.230000;10368.929000;5.919078;random_array
835000;1000000;10;30448.137000;3044.813700;1047.291800;965.631800;1031.890100;10472.918000;9656.318000;10318.901000;5.921687;random_array
840000;1000000;10;31471.695000;3147.169500;1086.265900;993.101900;1067.801700;10862.659000;9931.019000;10678.017000;5.924279;random_array
845000;1000000;10;32719.347000;3271.934700;1131.893800;1047.976900;1092.064000;11318.938000;10479.769000;10920.640000;5.926857;random_array
850000;1000000;10;30998.747000;3099.874700;1061.146500;982.506000;1056.222200;10611.465000;9825.060000;10562.222000;5.929419;random_array
855000;1000000;10;30667.090000;3066.709000;1047.679400;969.172000;1049.857600;10476.794000;9691.720000;10498.576000;5.931966;random_array
860000;1000000;10;31202.515000;3120.251500;1076.972000;985.233800;1058.045700;10769.720000;9852.338000;10580.457000;5.934498;random_array
865000;1000000;10;31050.338000;3105.033800;1061.860400;983.711000;1059.462400;10618.604000;9837.110000;10594.624000;5.937016;random_array
870000;1000000;10;31445.920000;3144.592000;1081.079600;992.634400;1070.878000;10810.796000;9926.344000;10708.780000;5.939519;random_array
875000;1000000;10;31517.866000;3151.786600;1081.273400;999.027000;1071.486200;10812.734000;9990.270000;10714.862000;5.942008;random_array
880000;1000000;10;31984.514000;3198.451400;1099.773700;1010.603400;1088.074300;10997.737000;10106.034000;10880.743000;5.944483;random_array
885000;1000000;10;33361.439000;3336.143900;1155.761100;1036.435300;1143.947500;11557.611000;10364.353000;11439.475000;5.946943;random_array
890000;1000000;10;35787.434000;3578.743400;1224.098000;1135.584800;1219.060600;12240.980000;11355.848000;12190.606000;5.949390;random_array
895000;1000000;10;34436.871000;3443.687100;1172.984000;1096.899600;1173.803500;11729.840000;10968.996000;11738.035000;5.951823;random_array
900000;1000000;10;35005.834000;3500.583400;1205.728000;1108.777700;1186.077700;12057.280000;11087.777000;11860.777000;5.954243;random_array
905000;1000000;10;34513.808000;3451.380800;1189.572300;1089.884000;1171.924500;11895.723000;10898.840000;11719.245000;5.956649;random_array
910000;1000000;10;35144.435000;3514.443500;1199.918500;1115.484000;1199.041000;11999.185000;11154.840000;11990.410000;5.959042;random_array
915000;1000000;10;35417.161000;3541.716100;1204.439100;1125.026500;1212.250500;12044.391000;11250.265000;12122.505000;5.961421;random_array
920000;1000000;10;35412.101000;3541.210100;1209.993900;1122.172600;1209.043600;12099.939000;11221.726000;12090.436000;5.963788;random_array
925000;1000000;10;36215.612000;3621.561200;1237.095300;1150.166400;1234.299500;12370.953000;11501.664000;12342.995000;5.966142;random_array
930000;1000000;10;36403.796000;3640.379600;1250.210400;1158.027600;1232.141600;12502.104000;11580.276000;12321.416000;5.968483;random_array
935000;1000000;10;36414.078000;3641.407800;1250.337000;1147.298100;1243.772700;12503.370000;11472.981000;12437.727000;5.970812;random_array
940000;1000000;10;36634.044000;3663.404400;1252.762900;1152.461300;1258.180200;12527.629000;11524.613000;12581.802000;5.973128;random_array
945000;1000000;10;36589.131000;3658.913100;1258.205900;1157.278300;1243.428900;12582.059000;11572.783000;12434.289000;5.975432;random_array
950000;1000000;10;36816.708000;3681.670800;1254.701200;1160.433800;1266.535800;12547.012000;11604.338000;12665.358000;5.977724;random_array
955000;1000000;10;37121.689000;3712.168900;1262.876800;1177.485600;1271.806500;12628.768000;11774.856000;12718.065000;5.980003;random_array
960000;1000000;10;37410.851000;3741.085100;1284.312900;1176.254900;1280.517300;12843.129000;11762.549000;12805.173000;5.982271;random_array
965000;1000000;10;37861.518000;3786.151800;1302.431200;1191.718600;1292.002000;13024.312000;11917.186000;12920.020000;5.984528;random_array
970000;1000000;10;38067.879000;3806.787900;1304.848100;1192.352000;1309.587800;13048.481000;11923.520000;13095.878000;5.986772;random_array
975000;1000000;10;38333.801000;3833.380100;1306.672300;1212.224700;1314.483100;13066.723000;12122.247000;13144.831000;5.989005;random_array
980000;1000000;10;38661.394000;3866.139400;1321.938100;1235.766000;1308.435300;13219.381000;12357.660000;13084.353000;5.991226;random_array
985000;1000000;10;36620.913000;3662.091300;1254.875400;1153.916200;1253.299700;12548.754000;11539.162000;12532.997000;5.993436;random_array
990000;1000000;10;36710.843000;3671.084300;1260.194300;1160.128200;1250.761800;12601.943000;11601.282000;12507.618000;5.995635;random_array
995000;1000000;10;36905.421000;3690.542100;1266.557300;1162.169200;1261.815600;12665.573000;11621.692000;12618.156000;5.997823;random_array
1000000;1000000;10;37240.669000;3724.066900;1278.105800;1175.110600;1270.850500;12781.058000;11751.106000;12708.505000;6.000000;random_array
